"CHOICE","CAR_TT","TRAIN_TT","SM_TT","CAR_CO","TRAIN_CO","SM_CO","AGE","GA","SM_SEATS","LUGGAGE"
2,1200,159,124,8,26,28,1,0,1,1
2,1200,159,121,13,22,25,1,0,0,1
1,1200,177,128,13,26,31,1,0,1,1
2,110,179,96,30,31,32,2,0,1,1
2,143,137,99,24,23,27,2,0,0,1
3,88,179,103,24,23,28,2,0,1,1
2,143,151,103,39,23,28,2,0,0,1
2,88,151,103,39,26,28,2,0,0,1
2,143,137,103,30,26,28,2,0,1,1
2,110,137,99,24,31,34,2,0,1,1
2,110,137,96,39,26,30,2,0,0,1
2,110,151,103,39,31,38,2,0,1,1
3,70,108,43,36,52,62,5,0,0,0
1,91,108,39,58,52,80,5,0,1,0
1,91,108,36,45,47,71,5,0,0,0
1,56,87,36,58,47,71,5,0,1,0
3,91,94,36,36,52,65,5,0,1,0
1,56,94,39,45,47,57,5,0,1,0
3,56,94,36,36,62,71,5,0,0,0
3,56,108,39,58,62,76,5,0,0,0
3,70,94,39,45,52,80,5,0,0,0
2,78,102,49,50,54,68,2,0,0,1
2,78,95,46,65,54,63,2,0,0,1
1,78,116,53,40,54,83,2,0,0,1
1,48,95,49,40,45,70,2,0,0,1
2,60,116,49,65,40,50,2,0,0,1
2,60,102,46,40,40,63,2,0,0,1
1,48,95,53,50,54,83,2,0,0,1
1,60,95,53,50,40,52,2,0,0,1
2,48,116,46,50,45,58,2,0,0,1
3,182,179,66,90,119,139,3,0,0,1
3,112,164,66,72,99,139,3,0,0,1
2,182,164,60,117,119,128,3,0,0,1
2,182,210,74,72,119,161,3,0,0,1
2,140,210,66,117,89,106,3,0,0,1
2,140,179,60,72,89,128,3,0,0,1
3,112,164,74,90,119,161,3,0,0,1
3,140,164,74,90,89,111,3,0,0,1
3,112,210,60,90,99,123,3,0,0,1
2,190,233,77,44,74,84,3,0,0,0
2,247,233,67,71,74,104,3,0,1,0
2,247,233,59,55,67,97,3,0,0,0
2,152,177,59,71,67,97,3,0,1,0
2,247,196,59,44,74,87,3,0,1,0
2,152,196,67,55,67,77,3,0,1,0
2,152,196,59,44,89,97,3,0,0,0
2,152,233,67,71,89,100,3,0,0,0
2,190,196,67,55,74,104,3,0,0,0
1,91,110,55,80,60,65,3,0,0,1
2,91,103,52,104,60,60,3,0,0,1
1,91,124,59,64,60,80,3,0,0,1
1,56,103,55,64,50,80,3,0,0,1
1,70,124,55,104,45,60,3,0,0,1
2,70,110,52,64,45,80,3,0,0,1
2,56,103,59,80,60,80,3,0,0,1
1,70,103,59,80,45,65,3,0,0,1
2,56,124,52,80,50,65,3,0,0,1
2,70,118,46,27,60,60,2,0,1,1
2,91,97,49,22,45,60,2,0,0,1
2,56,118,53,22,45,65,2,0,1,1
2,91,104,53,35,45,65,2,0,0,1
2,56,104,53,35,50,60,2,0,0,1
2,91,97,53,27,50,60,2,0,1,1
2,70,97,49,22,60,65,2,0,1,1
2,70,97,46,35,50,65,2,0,0,1
2,70,104,53,35,60,80,2,0,1,1
2,182,182,69,80,60,65,3,0,0,1
2,182,165,63,104,60,60,3,0,0,1
2,182,215,77,64,60,80,3,0,0,1
2,112,165,69,64,50,80,3,0,0,1
2,140,215,69,104,45,60,3,0,0,1
2,140,182,63,64,45,80,3,0,0,1
3,112,165,77,80,60,80,3,0,0,1
2,140,165,77,80,45,65,3,0,0,1
2,112,215,63,80,50,65,3,0,0,1
2,50,66,37,32,2600,3120,2,1,0,1
2,65,66,35,52,2600,4160,2,1,1,1
2,65,66,33,40,2340,4160,2,1,0,1
2,40,56,33,52,2340,4160,2,1,1,1
2,65,59,33,32,2600,3380,2,1,1,1
2,40,59,35,40,2340,3120,2,1,1,1
2,40,59,33,32,3120,3120,2,1,0,1
2,40,66,35,52,3120,3380,2,1,0,1
2,50,59,35,40,2600,4160,2,1,0,1
2,210,274,131,48,2600,3120,3,1,0,1
1,273,274,123,78,2600,4160,3,1,1,1
1,273,274,117,60,2340,4160,3,1,0,1
1,168,209,117,78,2340,4160,3,1,1,1
2,273,231,117,48,2600,3380,3,1,1,1
2,168,231,123,60,2340,3120,3,1,1,1
2,168,231,117,48,3120,3120,3,1,0,1
2,168,274,123,78,3120,3380,3,1,0,1
1,210,231,123,60,2600,4160,3,1,0,1
2,90,109,44,40,2600,3120,2,1,0,1
2,117,109,40,65,2600,4160,2,1,1,1
1,117,109,37,50,2340,4160,2,1,0,1
2,72,88,37,65,2340,4160,2,1,1,1
2,117,95,37,40,2600,3380,2,1,1,1
2,72,95,40,50,2340,3120,2,1,1,1
2,72,95,37,40,3120,3120,2,1,0,1
2,72,109,40,65,3120,3380,2,1,0,1
2,90,95,40,50,2600,4160,2,1,0,1
2,90,141,62,55,3120,3120,3,1,1,1
2,117,109,65,44,2340,3120,3,1,0,1
2,72,141,69,44,2340,3380,3,1,1,1
2,117,120,69,71,2340,3380,3,1,0,1
2,72,120,69,71,2600,3120,3,1,0,1
2,117,109,69,55,2600,3120,3,1,1,1
2,90,109,65,44,3120,3380,3,1,1,1
2,90,109,62,71,2600,3380,3,1,0,1
1,90,120,69,71,3120,4160,3,1,1,1
2,90,173,97,48,2600,3120,3,1,0,1
1,117,173,93,78,2600,4160,3,1,1,1
1,117,173,90,60,2340,4160,3,1,0,1
1,72,136,90,78,2340,4160,3,1,1,1
1,117,148,90,48,2600,3380,3,1,1,1
2,72,148,93,60,2340,3120,3,1,1,1
2,72,148,90,48,3120,3120,3,1,0,1
2,72,173,93,78,3120,3380,3,1,0,1
1,90,148,93,60,2600,4160,3,1,0,1
2,78,92,39,30,3120,3380,2,1,0,1
2,78,85,36,39,3120,3120,2,1,0,1
2,78,106,43,24,3120,4160,2,1,0,1
2,48,85,39,24,2600,4160,2,1,0,1
2,60,106,39,39,2340,3120,2,1,0,1
2,60,92,36,24,2340,4160,2,1,0,1
2,48,85,43,30,3120,4160,2,1,0,1
2,60,85,43,30,2340,3380,2,1,0,1
2,48,106,36,30,2600,3380,2,1,0,1
2,40,54,21,84,3120,3120,3,1,1,1
1,32,54,25,67,2340,3380,3,1,1,1
2,52,44,23,67,2340,3120,3,1,0,1
1,52,47,25,109,2340,3380,3,1,0,1
2,32,47,25,109,2600,3120,3,1,0,1
2,52,44,25,84,2600,3120,3,1,1,1
2,40,44,23,67,3120,3380,3,1,1,1
1,40,47,25,109,3120,4160,3,1,1,1
1,40,44,21,109,2600,3380,3,1,0,1
2,75,133,62,40,2600,3120,3,1,0,1
2,97,133,58,65,2600,4160,3,1,1,1
2,97,133,55,50,2340,4160,3,1,0,1
2,60,103,55,65,2340,4160,3,1,1,1
2,97,113,55,40,2600,3380,3,1,1,1
2,60,113,58,50,2340,3120,3,1,1,1
2,60,113,55,40,3120,3120,3,1,0,1
2,60,133,58,65,3120,3380,3,1,0,1
2,75,113,58,50,2600,4160,3,1,0,1
2,150,263,112,75,3120,3120,4,1,1,1
2,195,203,118,60,2340,3120,4,1,0,1
2,120,263,126,60,2340,3380,4,1,1,1
2,195,223,126,97,2340,3380,4,1,0,1
2,120,223,126,97,2600,3120,4,1,0,1
2,195,203,126,75,2600,3120,4,1,1,1
2,150,203,118,60,3120,3380,4,1,1,1
2,150,203,112,97,2600,3380,4,1,0,1
1,150,223,126,97,3120,4160,4,1,1,1
2,90,107,81,44,2600,3120,4,1,0,1
2,117,107,79,71,2600,4160,4,1,1,1
2,117,107,77,55,2340,4160,4,1,0,1
2,72,82,77,71,2340,4160,4,1,1,1
2,117,90,77,44,2600,3380,4,1,1,1
2,72,90,79,55,2340,3120,4,1,1,1
2,72,90,77,44,3120,3120,4,1,0,1
2,72,107,79,71,3120,3380,4,1,0,1
2,90,90,79,55,2600,4160,4,1,0,1
2,104,138,83,160,3120,3380,2,1,0,3
2,104,126,80,208,3120,3120,2,1,0,3
2,104,163,87,128,3120,4160,2,1,0,3
1,64,126,83,128,2600,4160,2,1,0,3
2,80,163,83,208,2340,3120,2,1,0,3
2,80,138,80,128,2340,4160,2,1,0,3
2,64,126,87,160,3120,4160,2,1,0,3
2,80,126,87,160,2340,3380,2,1,0,3
2,64,163,80,160,2600,3380,2,1,0,3
2,50,97,39,28,218,262,2,0,0,1
2,65,97,36,45,218,349,2,0,1,1
1,65,97,34,35,196,349,2,0,0,1
1,40,79,34,45,196,349,2,0,1,1
2,65,85,34,28,218,283,2,0,1,1
2,40,85,36,35,196,262,2,0,1,1
2,40,85,34,28,262,262,2,0,0,1
2,40,97,36,45,262,283,2,0,0,1
2,50,85,36,35,218,349,2,0,0,1
2,160,257,102,105,60,60,3,0,1,0
2,208,195,108,84,45,60,3,0,0,0
2,128,257,116,84,45,65,3,0,1,0
2,208,216,116,136,45,65,3,0,0,0
2,128,216,116,136,50,60,3,0,0,0
2,208,195,116,105,50,60,3,0,1,0
2,160,195,108,84,60,65,3,0,1,0
2,160,195,102,136,50,65,3,0,0,0
2,160,216,116,136,60,80,3,0,1,0
2,60,92,34,24,179,215,1,0,0,1
1,78,92,31,39,179,286,1,0,1,1
1,78,92,29,30,161,286,1,0,0,1
1,48,74,29,39,161,286,1,0,1,1
1,78,80,29,24,179,233,1,0,1,1
1,48,80,31,30,161,215,1,0,1,1
2,48,80,29,24,215,215,1,0,0,1
2,48,92,31,39,215,233,1,0,0,1
1,60,80,31,30,179,286,1,0,0,1
2,190,292,71,110,168,168,3,0,1,1
2,247,224,80,88,126,168,3,0,0,1
2,152,292,92,88,126,182,3,0,1,1
2,247,247,92,143,126,182,3,0,0,1
2,152,247,92,143,140,168,3,0,0,1
2,247,224,92,110,140,168,3,0,1,1
2,190,224,80,88,168,182,3,0,1,1
2,190,224,71,143,140,182,3,0,0,1
2,190,247,92,143,168,224,3,0,1,1
3,60,132,54,45,259,259,4,0,1,1
3,78,102,57,36,194,259,4,0,0,1
3,48,132,61,36,194,281,4,0,1,1
3,78,112,61,58,194,281,4,0,0,1
3,48,112,61,58,216,259,4,0,0,1
3,78,102,61,45,216,259,4,0,1,1
3,60,102,57,36,259,281,4,0,1,1
3,60,102,54,58,216,281,4,0,0,1
3,60,112,61,58,259,346,4,0,1,1
2,160,240,84,115,20,20,3,0,1,1
2,208,185,90,92,15,20,3,0,0,1
2,128,240,98,92,15,22,3,0,1,1
2,208,203,98,149,15,22,3,0,0,1
2,128,203,98,149,17,20,3,0,0,1
2,208,185,98,115,17,20,3,0,1,1
2,160,185,90,92,20,22,3,0,1,1
2,160,185,84,149,17,22,3,0,0,1
2,160,203,98,149,20,27,3,0,1,1
2,210,186,123,88,81,84,2,0,0,1
2,273,186,119,143,81,92,2,0,1,1
2,273,186,116,110,73,88,2,0,0,1
2,168,165,116,143,73,88,2,0,1,1
2,273,172,116,88,81,88,2,0,1,1
2,168,172,119,110,73,81,2,0,1,1
2,168,172,116,88,97,97,2,0,0,1
2,168,186,119,143,97,99,2,0,0,1
2,210,172,119,110,81,92,2,0,0,1
2,78,120,67,35,50,65,3,0,0,1
1,78,141,71,28,50,74,3,0,0,1
2,78,109,64,45,50,60,3,0,0,1
2,48,109,67,28,42,65,3,0,0,1
2,60,141,67,45,38,46,3,0,0,1
1,60,120,64,28,38,58,3,0,0,1
1,48,109,71,35,50,74,3,0,0,1
1,60,109,71,35,38,48,3,0,0,1
2,48,141,64,35,42,54,3,0,0,1
2,80,113,48,40,60,71,3,0,0,1
1,104,113,44,65,60,84,3,0,1,1
2,104,113,41,50,54,78,3,0,0,1
2,64,92,41,65,54,78,3,0,1,1
2,104,99,41,40,60,74,3,0,1,1
2,64,99,44,50,54,65,3,0,1,1
2,64,99,41,40,72,78,3,0,0,1
2,64,113,44,65,72,84,3,0,0,1
2,80,99,44,50,60,84,3,0,0,1
2,140,215,79,72,84,97,4,0,0,0
2,182,215,65,90,76,109,4,0,0,0
2,182,215,71,117,84,118,4,0,1,0
2,112,169,65,117,76,109,4,0,1,0
2,182,184,65,72,84,105,4,0,1,0
2,112,184,71,90,76,90,4,0,1,0
2,112,184,65,72,101,109,4,0,0,0
2,112,215,71,117,101,118,4,0,0,0
2,140,184,71,90,84,118,4,0,0,0
2,135,206,122,56,71,78,2,0,0,1
2,175,206,118,91,71,92,2,0,1,1
2,175,206,115,70,64,84,2,0,0,1
2,108,157,115,91,64,84,2,0,1,1
2,175,173,115,56,71,81,2,0,1,1
2,108,173,118,70,64,74,2,0,1,1
2,108,173,115,56,85,88,2,0,0,1
2,108,206,118,91,85,92,2,0,0,1
2,135,173,118,70,71,92,2,0,0,1
2,90,140,62,60,78,84,2,0,1,1
2,117,110,65,48,58,68,2,0,0,1
2,72,140,69,48,58,74,2,0,1,1
2,117,120,69,78,58,74,2,0,0,1
2,72,120,69,78,65,74,2,0,0,1
2,117,110,69,60,65,74,2,0,1,1
1,90,110,65,48,78,88,2,0,1,1
2,90,110,62,78,65,78,2,0,0,1
2,90,120,69,78,78,99,2,0,1,1
2,60,147,70,35,50,58,2,0,1,1
3,78,116,73,28,38,44,2,0,0,1
3,48,147,77,28,38,48,2,0,1,1
2,78,126,77,45,38,48,2,0,0,1
2,48,126,77,45,42,48,2,0,0,1
3,78,116,77,35,42,48,2,0,1,1
3,60,116,73,28,50,60,2,0,1,1
3,60,116,70,45,42,53,2,0,0,1
3,60,126,77,45,50,71,2,0,1,1
2,150,202,113,240,110,112,2,0,1,1
2,120,202,120,192,83,94,2,0,1,1
2,195,155,116,192,83,92,2,0,0,1
2,195,171,120,312,83,94,2,0,0,1
2,120,171,120,312,92,99,2,0,0,1
2,150,155,116,192,110,118,2,0,1,1
2,195,155,120,240,92,99,2,0,1,1
2,150,155,113,312,92,105,2,0,0,1
2,150,171,120,312,110,133,2,0,1,1
2,60,116,44,50,72,78,3,0,1,1
1,78,95,47,40,54,65,3,0,0,1
3,48,116,51,40,54,68,3,0,1,1
2,78,102,51,65,54,68,3,0,0,1
2,48,102,51,65,60,71,3,0,0,1
2,78,95,51,50,60,71,3,0,1,1
2,60,95,47,40,72,84,3,0,1,1
2,60,95,44,65,60,74,3,0,0,1
3,60,102,51,65,72,94,3,0,1,1
2,143,177,64,95,101,112,3,0,0,1
2,143,162,58,123,101,109,3,0,0,1
2,143,208,72,76,101,137,3,0,0,1
2,88,162,64,76,84,118,3,0,0,1
2,110,208,64,123,76,88,3,0,0,1
2,110,177,58,76,76,109,3,0,0,1
2,88,162,72,95,101,137,3,0,0,1
2,110,162,72,95,76,92,3,0,0,1
1,88,208,58,95,84,99,3,0,0,1
2,130,127,78,144,85,92,3,0,0,1
2,130,118,75,187,85,88,3,0,0,1
2,130,145,82,115,85,105,3,0,0,1
2,80,118,78,115,71,92,3,0,0,1
2,100,145,78,187,64,74,3,0,0,1
2,100,127,75,115,64,84,3,0,0,1
2,80,118,82,144,85,105,3,0,0,1
2,100,118,82,144,64,76,3,0,0,1
2,80,145,75,144,71,84,3,0,0,1
2,110,102,28,50,72,78,2,0,1,1
2,143,78,31,40,54,65,2,0,0,1
2,88,102,35,40,54,68,2,0,1,1
2,143,86,35,65,54,68,2,0,0,1
2,88,86,35,65,60,71,2,0,0,1
1,143,78,35,50,60,71,2,0,1,1
1,110,78,31,40,72,84,2,0,1,1
2,110,78,28,65,60,74,2,0,0,1
1,110,86,35,65,72,94,2,0,1,1
2,156,98,87,50,48,48,2,0,0,3
2,156,115,89,40,48,51,2,0,0,3
2,156,90,85,65,48,47,2,0,0,3
2,96,90,87,40,40,46,2,0,0,3
2,120,115,87,65,36,40,2,0,0,3
2,120,98,85,40,36,42,2,0,0,3
2,96,90,89,50,48,51,2,0,0,3
2,96,115,85,50,40,42,2,0,0,3
1,120,90,89,50,36,40,2,0,0,3
2,117,126,71,65,156,169,4,0,0,0
2,117,147,75,52,156,194,4,0,0,0
2,117,115,68,84,156,162,4,0,0,0
1,72,115,71,52,130,176,4,0,0,0
2,90,147,71,84,117,136,4,0,0,0
2,72,115,75,65,156,194,4,0,0,0
2,90,126,68,52,117,162,4,0,0,0
2,72,147,68,65,130,153,4,0,0,0
2,90,115,75,65,117,142,4,0,0,0
2,80,122,78,80,145,153,3,0,1,1
2,64,122,82,64,109,130,3,0,1,1
2,104,95,80,64,109,119,3,0,0,1
2,104,104,82,104,109,130,3,0,0,1
2,64,104,82,104,121,136,3,0,0,1
2,80,95,80,64,145,155,3,0,1,1
2,104,95,82,80,121,136,3,0,1,1
3,80,104,82,104,145,167,3,0,1,1
2,80,95,78,104,121,136,3,0,0,1
2,40,72,37,15,48,53,2,0,1,0
2,32,72,41,12,36,43,2,0,1,0
2,52,59,39,12,36,41,2,0,0,0
2,52,63,41,19,36,43,2,0,0,0
2,32,63,41,19,40,45,2,0,0,0
2,52,59,41,15,40,45,2,0,1,0
1,40,59,39,12,48,58,2,0,1,0
1,40,63,41,19,48,67,2,0,1,0
1,40,59,37,19,40,50,2,0,0,0
2,195,169,56,140,100,108,3,0,0,1
2,195,154,50,182,100,100,3,0,0,1
2,195,200,64,112,100,133,3,0,0,1
2,120,154,56,112,83,133,3,0,0,1
2,150,200,56,182,75,100,3,0,0,1
2,150,169,50,112,75,133,3,0,0,1
2,120,154,64,140,100,133,3,0,0,1
2,150,154,64,140,75,108,3,0,0,1
2,120,200,50,140,83,108,3,0,0,1
2,208,199,86,90,100,108,2,0,0,1
2,208,238,94,72,100,133,2,0,0,1
2,208,180,80,117,100,100,2,0,0,1
1,128,180,86,72,83,133,2,0,0,1
2,160,238,86,117,75,100,2,0,0,1
3,128,180,94,90,100,133,2,0,0,1
1,160,199,80,72,75,133,2,0,0,1
2,160,180,94,90,75,108,2,0,0,1
2,128,238,80,90,83,108,2,0,0,1
2,150,209,63,100,100,100,2,0,1,1
2,195,161,69,80,75,100,2,0,0,1
2,120,209,77,80,75,108,2,0,1,1
2,195,177,77,130,75,108,2,0,0,1
2,120,177,77,130,83,100,2,0,0,1
2,195,161,77,100,83,100,2,0,1,1
2,150,161,69,80,100,108,2,0,1,1
2,150,161,63,130,83,108,2,0,0,1
2,150,177,77,130,100,133,2,0,1,1
3,60,111,48,28,83,100,3,0,0,1
3,78,111,44,45,83,133,3,0,1,1
3,48,90,41,45,75,133,3,0,1,1
3,78,111,41,35,75,133,3,0,0,1
3,78,97,41,28,83,108,3,0,1,1
3,48,97,44,35,75,100,3,0,1,1
3,48,97,41,28,100,100,3,0,0,1
3,48,111,44,45,100,108,3,0,0,1
3,60,97,44,35,83,133,3,0,0,1
2,250,249,76,205,100,100,3,0,1,1
2,325,195,84,164,75,100,3,0,0,1
2,200,249,94,164,75,108,3,0,1,1
2,325,213,94,266,75,108,3,0,0,1
2,200,213,94,266,83,100,3,0,0,1
2,325,195,94,205,83,100,3,0,1,1
2,250,195,84,164,100,108,3,0,1,1
2,250,195,76,266,83,108,3,0,0,1
2,250,213,94,266,100,133,3,0,1,1
2,182,181,126,85,100,108,2,0,0,1
2,182,164,123,110,100,100,2,0,0,1
1,112,164,126,68,83,133,2,0,0,1
2,182,214,130,68,100,133,2,0,0,1
2,140,214,126,110,75,100,2,0,0,1
3,140,181,123,68,75,133,2,0,0,1
2,112,164,130,85,100,133,2,0,0,1
1,140,164,130,85,75,108,2,0,0,1
2,112,214,123,85,83,108,2,0,0,1
2,214,207,78,165,5040,5460,3,1,0,1
2,214,189,70,214,5040,5040,3,1,0,1
2,214,243,88,132,5040,6720,3,1,0,1
2,132,189,78,132,4200,6720,3,1,0,1
2,165,243,78,214,3780,5040,3,1,0,1
2,165,207,70,132,3780,6720,3,1,0,1
2,132,189,88,165,5040,6720,3,1,0,1
2,165,189,88,165,3780,5460,3,1,0,1
2,132,243,70,165,4200,5460,3,1,0,1
2,120,133,61,60,4200,5040,3,1,0,1
2,156,133,57,97,4200,6720,3,1,1,1
2,156,133,54,75,3780,6720,3,1,0,1
2,96,102,54,97,3780,6720,3,1,1,1
2,156,112,54,60,4200,5460,3,1,1,1
2,96,112,57,75,3780,5040,3,1,1,1
2,96,112,54,60,5040,5040,3,1,0,1
2,96,133,57,97,5040,5460,3,1,0,1
2,120,112,57,75,4200,6720,3,1,0,1
2,117,77,22,120,5040,5460,1,1,0,1
2,117,70,19,156,5040,5040,1,1,0,1
1,117,91,26,96,5040,6720,1,1,0,1
1,72,70,22,96,4200,6720,1,1,0,1
1,90,91,22,156,3780,5040,1,1,0,1
1,90,77,19,96,3780,6720,1,1,0,1
2,72,70,26,120,5040,6720,1,1,0,1
1,90,70,26,120,3780,5460,1,1,0,1
2,72,91,19,120,4200,5460,1,1,0,1
2,80,117,54,24,4200,5040,2,1,0,1
2,104,117,50,39,4200,6720,2,1,1,1
1,104,117,47,30,3780,6720,2,1,0,1
2,64,96,47,39,3780,6720,2,1,1,1
2,104,103,47,24,4200,5460,2,1,1,1
2,64,103,50,30,3780,5040,2,1,1,1
2,64,103,47,24,5040,5040,2,1,0,1
2,64,117,50,39,5040,5460,2,1,0,1
2,80,103,50,30,4200,6720,2,1,0,1
2,104,136,81,50,5040,5460,3,1,0,1
2,104,125,78,65,5040,5040,3,1,0,1
1,104,158,85,40,5040,6720,3,1,0,1
1,64,125,81,40,4200,6720,3,1,0,1
1,80,158,81,65,3780,5040,3,1,0,1
1,80,136,78,40,3780,6720,3,1,0,1
1,64,125,85,50,5040,6720,3,1,0,1
1,80,125,85,50,3780,5460,3,1,0,1
1,64,158,78,50,4200,5460,3,1,0,1
2,78,102,49,100,5040,5460,3,1,0,1
2,78,93,46,130,5040,5040,3,1,0,1
2,78,120,53,80,5040,6720,3,1,0,1
1,48,93,49,80,4200,6720,3,1,0,1
2,60,120,49,130,3780,5040,3,1,0,1
2,60,102,46,80,3780,6720,3,1,0,1
2,48,93,53,100,5040,6720,3,1,0,1
2,60,93,53,100,3780,5460,3,1,0,1
2,48,120,46,100,4200,5460,3,1,0,1
2,156,107,52,80,5040,5460,3,1,0,1
2,156,100,49,104,5040,5040,3,1,0,1
2,156,121,56,64,5040,6720,3,1,0,1
2,96,100,52,64,4200,6720,3,1,0,1
2,120,121,52,104,3780,5040,3,1,0,1
2,120,107,49,64,3780,6720,3,1,0,1
2,96,100,56,80,5040,6720,3,1,0,1
2,120,100,56,80,3780,5460,3,1,0,1
2,96,121,49,80,4200,5460,3,1,0,1
2,100,126,56,150,5040,5040,3,1,1,1
2,130,105,59,120,3780,5040,3,1,0,1
2,80,126,63,120,3780,5460,3,1,1,1
2,130,112,63,195,3780,5460,3,1,0,1
2,80,112,63,195,4200,5040,3,1,0,1
2,130,105,63,150,4200,5040,3,1,1,1
2,100,105,59,120,5040,5460,3,1,1,1
2,100,105,56,195,4200,5460,3,1,0,1
2,100,112,63,195,5040,6720,3,1,1,1
2,117,132,77,65,5040,5460,4,1,0,1
2,117,122,74,84,5040,5040,4,1,0,1
1,72,122,77,52,4200,6720,4,1,0,1
1,117,152,81,52,5040,6720,4,1,0,1
2,90,152,77,84,3780,5040,4,1,0,1
1,90,132,74,52,3780,6720,4,1,0,1
1,72,122,81,65,5040,6720,4,1,0,1
1,90,122,81,65,3780,5460,4,1,0,1
1,72,152,74,65,4200,5460,4,1,0,1
